Group.name（例：総合対応局 システム担当）,GroupInfo.email（例：system@example.com）,GroupInfo.slack_ch（例：st-system）
幹部,knb@penguin-test.com,knb
本部構内対応局,hombu@penguin-test.com,hombu
おまつり広場局 ステージ担当,stage@penguin-test.com,oma-stage
おまつり広場局 模擬店担当,mogi@penguin-test.com,oma-mogi,
おまつり広場局 企画室担当,kikaku@penguin-test.com,oma-kikaku
おまつり広場局 グラファイ担当,ground@penguin-test.com,oma-ground
広報局,koho@penguin-test.com,koho
パンフレット局,pamph@penguin-test.com,pamph
渉外局,shogai@penguin-test.com,shogai
総合対応局 総務担当,somu@penguin-test.com,st-somu
総合対応局 統括担当,tk@penguin-test.com,st-tk
総合対応局 システム担当,system@penguin-test.com,st-system
総合対応局 屋内企画担当,okunai@penguin-test.com,st-okunai
自主制作局,jise@penguin-test.com,jise
会計局,kaikei@penguin-test.com,kaikei
屋内企画担当,okunai@penguin-test.com,okunai
企画持ち,kkkmc@penguin-test.com,kkkmc
